country,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVL,B1GVL,B1GVL,B1GVL,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,D21_D31,D21_D31,D21_D31,D21_D31,DB1_GE,DB1_GE,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P52,P52,P52,P52,P52_P53,P52_P53,P52_P53,P52_P53,P53,P53,P53,P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CD,CARSA,CQR,CQRSA,VNBQR,VNBQRSA,VOBARSA
unit,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee
powercode,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Units,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2011-12,2011-12,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-Q2,,,,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13352.3,,,3338.1,,,,,,7902.8,38078.5,1979647.2,,,,,,,,2464.5,,5734.5,8767.8,,,2191.9,,,,,,4805.7,24205.5,1258564.6,1394.8,,,348.7,,,,,,875.0,4409.0,229219.5,,,,,3316.6,,,829.2,,,,,,1780.1,8085.7,420388.1,,-155.2,,,,,,,,,,,1448.1,,,362.0,,,,,,756.2,3464.4,180107.7,1438.9,,,359.7,,,,,,770.2,3726.1,193713.7,,-136.1,,121.2,,,1640.0
1996-Q3,,,,162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13704.1,,,3426.0,,0.48898,,,,7941.5,38264.7,1989327.3,,,,,,,,2552.4,,5716.7,8916.3,,,2229.1,,0.21296,,,,4815.9,24257.0,1261244.8,1398.4,,,349.6,,-4.30677,,,,837.3,4219.2,219347.6,,,,,3468.1,,,867.0,,2.83123,,,,1830.5,8314.7,432290.3,,-108.0,,,,,,,,,,,1445.9,,,361.5,,42.82465,,,,1080.0,4948.0,257238.1,1560.9,,,390.2,,19.15874,,,,917.8,4440.0,230826.8,,36.4,,117.1,,,965.8
1996-Q4,,,,-87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14166.6,,,3541.7,,1.58557,,,,8067.4,38871.4,2020869.6,,,,,,,,2645.3,,5729.4,9071.4,,,2267.8,,0.60316,,,,4845.0,24403.3,1268852.1,1442.3,,,360.6,,3.69777,,,,868.3,4375.2,227458.5,,,,,3575.7,,,893.9,,1.85413,,,,1864.4,8468.8,440305.5,,14.5,,,,,,,,,,,1449.5,,,362.4,,-23.97515,,,,821.1,3761.7,195564.9,1624.6,,,406.1,,-1.01313,,,,908.5,4395.0,228488.2,,252.3,,48.5,,,2257.4
1997-Q1,,,,-146.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14503.1,1675550.5,,3625.8,37.02377206,0.75236,,,,8128.1,39163.9,2036073.8,,,,,,,,2734.5,,5756.7,9232.6,1066897.9,,2308.2,,0.94994,,,,4891.0,24635.2,1280905.4,1547.6,178829.0,,386.9,,10.29093,,,,957.6,4825.4,250866.1,,,,,3751.5,433548.4,,937.9,,3.1086,,,,1922.4,8732.1,453992.8,,42.2,,,,,,,,,,,1493.7,172600.7,,373.4,,-3.0881,,,,795.7,3645.5,189525.7,1839.1,212513.0,,459.8,,3.71419,,,,942.2,4558.2,236974.7,8.65384,316.7,,37.0,,,1883.9
