country,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GI,B1_GI,B2G_B3G,B2G_B3G,D1,D1,D11,D11,D12,D12,D1S1,D1S1,D21S1,D21S1,D21S1,D21S1,D21_D31,D21_D31,D21_D31,D21_D31,D2S1,D2S1,D2_D3,D2_D3,D31S1,D31S1,D31S1,D31S1,D3S1,D3S1,DB1_GA,DB1_GA,EEM,EEMNC,ESE,ESENC,ETO,ETONC,ETOVA,ETOVB_E,ETOVC,ETOVF,ETOVG_I,ETOVJ,ETOVK,ETOVL,ETOVM_N,ETOVO_Q,ETOVR_U,P3,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P3_P5,P3_P5,P5,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51A,P51A,P51N1111,P51N1111,P51N1111,P51N1111,P51N1113,P51N1113,P51N1113,P51N1113,P52,P52,P52_P53,P52_P53,P53,P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P61,P61,P61,P61,P62,P62,P62,P62,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P71,P71,P71,P71,P72,P72,P72,P72,POPNC,POPNC,PPPGDP,RB1_GA,RB1_GA,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GI,RB1_GI
measure,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,PER,CQR,CQRSA,DNBSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,DNBSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,PER,PERSA,CD,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CQR,CQRSA,LNBQR,LNBQRSA,VOBARSA,CQR,CQRSA
unit,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,US Dollar,US Dollar,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Swiss Franc,Swiss Franc,Index,Swiss Franc,Swiss Franc,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Index,Swiss Franc,Swiss Franc,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Index,Index,Percentage,Percentage,Swiss Franc,Swiss Franc,Index,Swiss Franc,US Dollar,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Persons,Persons,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc,Swiss Franc
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Thousands,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
reference_period,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,,,2015,2015,,,,2015,2015,2015,2015,2015,2015,,,,,,,,,,,,,,,2015,2015,,,2015,2015,,,,,,,2015,2015,,,2015,2015,,,,,,,,,,,,,,,,,,,,2015,2015,2015,,,,,2015,2015,,,2015,2015,2015,2015,2015,,,,,2015,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,2015,2015,2015,,,,,2015,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,,,,,,,,,2015,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,2015,2015,,,,,2015,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,2015,2015,,,,,,2015,2015,,,,2015,2015,2015,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45057.7,22426.5,,,,,,,,,,,,199862.4,161728.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26012.0,12946.9,,,,,,,,,,104967.5,84939.7,2913.8,1450.3,,,,,,,,,,17279.1,13982.3,,,,,,,,,,14388.1,7161.4,,,,,,,,,,44235.8,35795.6,,,,,,,,,,,,,,,,,,,14695.3,7314.3,,,,,,,,,,38150.4,30871.3,,,,,,,,,14812.4,7372.5,,,,,,,,,,27503.0,22255.5,,,,,,,,,,,2.00913,,,,,1860.9,,,,,22732.6,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50688.4,24486.6,,,,,8.108092925,8.108092925,,,,,,216067.4,174841.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28565.3,13799.3,,,,,6.809452963,6.809452963,,,,112115.2,90723.6,3579.4,1729.2,,,,,17.23498128,17.23498128,,,,20257.2,16392.1,,,,,,,,,,17864.8,8630.1,,,,,15.72113322,15.72113322,,,,51190.2,41423.1,,,,,,,,,,,,,,,,,,,16184.3,7818.3,,,,,8.016191532,8.016191532,,,,41208.6,33346.0,,,,,,,,,17845.8,8621.0,,,,,19.89133358,19.89133358,,,,32973.8,26682.4,,,,,,,,,,,2.07005,,,,,2340.5,,,,,24270.1,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56210.6,25940.5,,,,,4.78961946,4.78961946,,,,,,226416.2,183216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31882.3,14713.2,,,,,6.389159935,6.389159935,,,,119278.4,96520.1,4156.9,1918.4,,,,,8.254703541,8.254703541,,,,21929.4,17745.3,,,,,,,,,,20860.4,9626.8,,,,,10.218545714,10.218545714,,,,56421.1,45656.0,,,,,,,,,,,,,,,,,,,17733.6,8183.8,,,,,6.20516583,6.20516583,,,,43765.6,35415.2,,,,,,,,,19935.1,9199.8,,,,,10.456324463,10.456324463,,,,36421.6,29472.4,,,,,,,,,,,2.16691,,,,,1512.5,,,,,21443.4,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61811.2,27488.0,,,,,4.879583346,4.879583346,,,,,,237464.4,192156.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34625.1,15398.1,,,,,4.835565616,4.835565616,,,,125046.2,101187.4,4760.8,2117.2,,,,,8.714628517,8.714628517,,,,23840.4,19291.7,,,,,,,,,,23879.3,10619.3,,,,,7.315115439,7.315115439,,,,60548.3,48995.7,,,,,,,,,,,,,,,,,,,19323.2,8593.2,,,,,5.196703526,5.196703526,,,,46040.0,37255.6,,,,,,,,,21488.7,9556.2,,,,,4.842663239,4.842663239,,,,38185.4,30899.6,,,,,,,,,,,2.24866,,,,,711.5,,,,,20174.8,,
