country,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GS1,B1_GS1,B5_GS1,B5_NS1,B6GS1,B6NS1,B8GS1,D1_D4FRS2,D1_D4NFRS2,D1_D4TOS2,D21S1,D21S1,D21S1,D21S1,D21_D31,D21_D31,D21_D31,D21_D31,D5_D7FRS2,D5_D7NFRS2,D5_D7TOS2,EEM,EEM,EEMNC,EEMVA,EEMVA,EEMVB_E,EEMVB_E,EEMVC,EEMVC,EEMVF,EEMVF,EEMVG_I,EEMVG_I,EEMVJ,EEMVJ,EEMVK,EEMVK,EEMVL,EEMVL,EEMVM_N,EEMVM_N,EEMVO_Q,EEMVO_Q,EEMVR_U,EEMVR_U,ESE,ESE,ESENC,ESEVA,ESEVA,ESEVB_E,ESEVB_E,ESEVC,ESEVC,ESEVF,ESEVF,ESEVG_I,ESEVG_I,ESEVJ,ESEVJ,ESEVK,ESEVK,ESEVL,ESEVL,ESEVM_N,ESEVM_N,ESEVO_Q,ESEVO_Q,ESEVR_U,ESEVR_U,ETO,ETO,ETONC,ETOVA,ETOVA,ETOVB_E,ETOVB_E,ETOVC,ETOVC,ETOVF,ETOVF,ETOVG_I,ETOVG_I,ETOVJ,ETOVJ,ETOVK,ETOVK,ETOVL,ETOVL,ETOVM_N,ETOVM_N,ETOVO_Q,ETOVO_Q,ETOVR_U,ETOVR_U,P3,P3,P3,P3,P3,P311B,P311B,P311B,P311B,P312N,P312N,P312N,P312N,P313B,P313B,P313B,P313B,P314B,P314B,P314B,P314B,P31DC,P31DC,P31DC,P31DC,P31NC,P31NC,P31NC,P31NC,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15B,P31S14_S15B,P31S14_S15B,P31S14_S15B,P3S1,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P3_P5,P3_P5,P5,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51A,P51A,P51N1112,P51N1112,P51N1112,P51N1112,P51N1113,P51N1113,P51N1113,P51N1113,P52,P52,P52_P53,P52_P53,P5S1,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P61,P61,P61,P61,P62,P62,P62,P62,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P71,P71,P71,P71,P72,P72,P72,P72,POPNC,POPNC,PPPGDP,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GS1,RP51,RP51,RP51,RP51
measure,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,LNBQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQR,CQR,HRS,PER,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,HRS,PER,CQR,CQRSA,DNBSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,DNBSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,PER,PERSA,CD,CQR,LNBQR,CARSA,CQR,CQRSA,LNBQR,LNBQRSA,VOBARSA,CQR,CQR,CQRSA,LNBQR,LNBQRSA
unit,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,US Dollar,US Dollar,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Hours,Persons,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Hours,Persons,Chilean Peso,Chilean Peso,Index,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Index,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Index,Index,Percentage,Percentage,Chilean Peso,Chilean Peso,Index,Chilean Peso,US Dollar,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Persons,Persons,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso,Chilean Peso
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Thousands,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
reference_period,,,2018,2018,,,2018,2018,,,2018,2018,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,,,2018,2015,,,,2015,2018,2018,2015,2015,2015,,2018,,,,,,,,,,,2018,2018,,,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,2018,2018,,,,,2018,2015,,,2018,2018,2015,2015,2015,,,2018,2018,,,,,,2018,2015,,,2018,2018,2015,2015,2015,,,2018,2018,,,2018,2018,2018,,,,,2018,2015,,,2018,2018,2015,2015,2015,,,2018,2018,,,2018,2018,,,2018,2018,,,,,,,,,,2018,2015,,,2018,2018,2015,2015,2015,,,2018,2018,,,2018,2018,,,,,2018,2015,,,2018,2018,2015,2015,2015,,,2018,2018,,,2018,2018,,,,,2018,,,,2018,2018,2015,,,,2018,2018
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59981,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.00881,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.92343,,,,,,,,,,,,,
