country,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,D21_D31,D21_D31,D21_D31,D21_D31,EEMNC,ESENC,ETONC,P3,P3,P3,P3,P311B,P311B,P312B,P312B,P313B,P313B,P314B,P314B,P31DC,P31DC,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15B,P31S14_S15B,P31S14_S15B,P31S14_S15B,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P3_P5,P3_P5,P3_P6,P3_P6,P3_P6,P3_P6,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51A,P51A,P51N1111,P51N1111,P51N1112,P51N1112,P51N1113,P51N1113,P51N1114,P51N1114,P51N112,P51N112,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,POPNC,POPNC,PPPGDP,RB1_GA,RB1_GA,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,PER,PER,PER,CQR,CQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,PER,PERSA,CD,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,LNBQR,LNBQRSA,VOBARSA,VPVOBARSA
unit,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,US Dollar,US Dollar,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Persons,Persons,Persons,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Index,Percentage,Percentage,Colombian Peso,Colombian Peso,Index,Colombian Peso,US Dollar,Persons,Persons,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,Colombian Peso,US Dollar
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Millions,Millions,Millions,Millions,Thousands,Thousands,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Billions,Millions,Thousands,Thousands,Units,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Millions,Millions,Billions,Millions
reference_period,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,,,2015,,,,2015,2015,2015,2015,2015,2015,,,2015,2015,,,,,,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,,,,,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,,,2015,,,2015,2015,2015,2015,2015,,,2015,2015,,,2015,2015,,,2015,2015,,,,,2015,,,2015,2015,2015,2015,2015,,,,,,,,,,,,,,,,,,,2015,,,2015,2015,2015,2015,2015,,,,,2015,,,2015,2015,2015,2015,2015,,,,,,2015,2015,,,,,2015,2015,2015,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72235.4,254461.2,,,,,,,,,,,382156.3,296400.6,,,,,,,,,,,,,,,,,,,,,,57215.8,201552.2,,,,,,,,,286521.3,222226.0,,,,,7001.2,24663.0,,,,,,,,,35271.9,27356.9,,,,,,,,,,,,,17311.5,60982.6,,,,,,,,,77141.6,59831.0,,,,,,,,,,,,,,,8041.8,28328.6,,,,,,,,,48397.8,37537.3,13854.7,48805.5,,,,,,,,,54817.1,42516.1,,,283.87567,,,,,-3480.2,-12259.6,,,,,-10359.1,-8034.6
1994-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77129.3,257799.7,,,,,,,,,,,388799.4,301553.0,,,,,,,,,,,,,,,,,,,,,,58918.8,196932.2,,,,,,,,,290294.1,225152.2,,,,,7604.3,25416.8,,,,,,,,,36532.9,28334.9,,,,,,,,,,,,,21217.1,70916.7,,,,,,,,,82732.3,64167.2,,,,,,,,,,,,,,,8488.5,28372.1,,,,,,,,,49256.3,38203.2,15397.1,51463.8,,,,,,,,,59480.2,46132.9,,,299.18302,,,,,-3702.2,-12374.4,,,,,-10536.0,-8171.7
1994-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83261.9,261977.2,,,,,,,,,,,396648.4,307640.7,,,,,,,,,,,,,,,,,,,,,,60604.9,190688.8,,,,,,,,,293443.2,227594.7,,,,,8282.3,26059.6,,,,,,,,,37811.2,29326.4,,,,,,,,,,,,,25779.5,81113.4,,,,,,,,,90411.9,70123.5,,,,,,,,,,,,,,,9291.1,29233.8,,,,,,,,,49945.4,38737.6,16876.0,53098.9,,,,,,,,,64555.8,50069.5,,,317.82115,,,,,-3820.0,-12019.4,,,,,-10407.6,-8072.1
1994-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87373.4,262658.4,,,,,,,,,,,398061.5,308736.7,,,,,,,,,,,,,,,,,,,,,,63413.1,190630.1,,,,,,,,,295630.0,229290.8,,,,,8874.0,26676.6,,,,,,,,,38551.0,29900.2,,,,,,,,,,,,,25577.0,76888.5,,,,,,,,,85597.4,66389.4,,,,,,,,,,,,,,,9958.4,29936.6,,,,,,,,,51770.5,40153.2,16813.8,50545.0,,,,,,,,,63140.1,48971.5,,,332.6502,,,,,-3635.3,-10928.4,,,,,-10347.3,-8025.4
