country,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GI,B1_GI,B2G_B3G,B2G_B3G,B2N_B3N,B2N_B3N,D1,D1,D1S1,D1S1,D1VA,D1VA,D1VB_E,D1VB_E,D1VC,D1VC,D1VF,D1VF,D1VG_I,D1VG_I,D1VJ,D1VJ,D1VK,D1VK,D1VL,D1VL,D1VM_N,D1VM_N,D1VO_Q,D1VO_Q,D1VR_U,D1VR_U,D21_D31,D21_D31,D21_D31,D21_D31,D2_D3,D2_D3,K1,K1,P3,P3,P3,P3,P3,P311B,P311B,P312B,P312B,P312N,P313B,P313B,P314B,P314B,P31DC,P31NC,P31NC,P31S14,P31S14,P31S14,P31S14,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15B,P31S14_S15B,P31S15,P31S15,P31S15,P31S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51N1111,P51N1111,P51N1113,P51N1113,P51N112,P51N112,P52,P52,P52_P53,P52_P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,LNBQR,LNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,DNBSA,LNBQR,LNBQRSA,CQR,LNBQR,CQR,LNBQR,CQR,CQR,LNBQR,CQR,LNBQR,CQR,CQR,LNBQR,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,LNBQR,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,CQR,CQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,LNBQR,CQR,LNBQR,CQR,LNBQR,CQR,LNBQR,CQR,CQRSA,CQR,CQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GCUMSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CD,CARSA,CQR,CQRSA,VOBARSA
unit,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Index,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Index,Index,Percentage,Percentage,Percentage,Turkish Lira,Turkish Lira,Index,Turkish Lira,US Dollar,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira,Turkish Lira
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions
reference_period,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,2009,2009,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009,,,,,,,2009,2009,2009,,2009,,2009,,,2009,,2009,,,2009,,,2009,2009,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,2009,,,2009,2009,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,,,,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,2009,,2009,,2009,,2009,,,,,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,,,,2009,2015,,,,2009,2009,2015,2015,2015,,,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,24268.5,,,,,,,,,,,181597.0,156218.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,18029.1,,,,,,,,,,,144762.8,124532.2,,,,,,,0.0,1415.1,,,,,,,,,,,15226.5,13098.6,,,,,0.0,3699.8,,,,,,,,,,,19274.1,16580.5,,,,,,,,,,,,,0.0,935.8,,,,,,,,,,,7070.5,6082.4,0.0,980.3,,,,,,,,,,,9180.7,7897.7,0.0,0.0,,,4443.9
1960-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,24431.3,,,,,,,,,,,182093.7,156646.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,18042.8,,,,,,,,,,,144734.0,124507.5,,,,,,,0.0,1504.3,,,,,,,,,,,15538.5,13367.0,,,,,0.0,3712.7,,,,,,,,,,,19408.5,16696.1,,,,,,,,,,,,,0.0,941.8,,,,,,,,,,,7089.8,6099.0,0.0,993.7,,,,,,,,,,,9272.8,7976.9,0.0,0.0,,,4595.7
1960-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,24611.8,,,,,,,,,,,182593.2,157075.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,18069.8,,,,,,,,,,,144705.1,124482.6,,,,,,,0.0,1594.3,,,,,,,,,,,15852.2,13636.9,,,,,0.0,3728.3,,,,,,,,,,,19543.6,16812.4,,,,,,,,,,,,,0.0,948.5,,,,,,,,,,,7109.2,6115.7,0.0,1007.8,,,,,,,,,,,9365.4,8056.6,0.0,0.0,,,4748.5
1960-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,24778.8,,,,,,,,,,,183095.4,157507.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,18087.1,,,,,,,,,,,144676.1,124457.7,,,,,,,0.0,1683.4,,,,,,,,,,,16167.6,13908.2,,,,,0.0,3741.9,,,,,,,,,,,19679.5,16929.3,,,,,,,,,,,,,0.0,954.6,,,,,,,,,,,7128.7,6132.5,0.0,1021.3,,,,,,,,,,,9458.6,8136.7,0.0,0.0,,,4902.0
