country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
subject,B11,B11,B11,B11,B1G,B1G,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,D21_D31,D21_D31,DB1_GE,DB1_GE,P3,P3,P3,P3,P3,P31S13,P31S13,P31S14,P31S14,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S15,P31S15,P32S13,P32S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P41,P41,P5,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51N1111,P51N1111,P51N1113,P51N1113,P51N11131,P51N11131,P51N1113I,P51N1113I,P51N1113O,P51N1113O,P51N1114,P51N1114,P51N112,P51N112,P52,P52,P52,P52,P52_P53,P52_P53,P52_P53,P52_P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P61,P61,P61,P61,P62,P62,P62,P62,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P71,P71,P71,P71,P72,P72,P72,P72,PPPGDP,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,VNBQR,CQR,CQRSA,DNBSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,VNBQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,CQRSA,DNBSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CD,CQR,VNBQR,CARSA,CQR,CQRSA,VNBQR,VNBQRSA,VOBARSA
unit,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Index,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah
powercode,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,2010,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,2010,,,,2010,2010,,2010,,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,2010,2010,,,2010,,,,2010,2010,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-Q1,,656.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241782.8,694405.6,,60445.7,,7.1,,,29.5,,,3398766.3,780728.4,,,,,,,,,,,,,,113438.2,325797.1,,,,6.7,,,25.6,,,1696105.2,389611.2,,,,,22014.4,63225.8,,5503.6,,5.3,,,36.7,,,412527.8,94761.5,,,,,,,,51360.4,147508.2,,12840.1,,6.1,,,22.3,,,843435.1,193744.9,,,,,,,,,,,,,,,,,,,,,,,,,54214.5,155705.1,,13553.6,,10.0,,,22.2,,,540837.9,124235.5,,,,,,,,,51587.5,148160.3,,12896.9,,11.7,,,18.5,,,442724.0,101697.9,,,,,,,,,348.18678,,,52342.8,,,,,
1990-Q2,,-72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249718.8,721449.1,,62429.7,,7.2,2.46526052,,30.2,,,3482554.7,799975.4,,,,,,,,,,,,,,124744.2,360391.8,,,,6.9,6.76197939,,27.3,,,1810795.5,415956.7,,,,,22000.1,63559.3,,5500.0,,5.5,-2.9593497,,35.6,,,400319.7,91957.2,,,,,,,,44726.1,129215.7,,11181.5,,6.3,-15.579003369,,18.8,,,712036.3,163561.4,,,,,,,,,,,,,,,,,,,,,,,,,53109.4,153435.4,,13277.3,,9.3,5.916248541,,23.5,,,572835.2,131585.6,,,,,,,,,53399.7,154274.3,,13349.9,,11.8,2.230296303,,18.9,,,452598.1,103966.0,,,,,,,,,346.13501,,,58538.8,,,,,
1990-Q3,,239.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257959.6,733023.9,,64489.9,,7.3,1.005079199,,30.5,,,3517557.1,808015.8,,,,,,,,,,,,,,125976.4,357977.4,,,,7.0,-0.782944903,,27.1,,,1796618.0,412700.0,,,,,21138.1,60066.4,,5284.5,,5.2,1.236234198,,36.1,,,405268.6,93094.0,,,,,,,,110171.6,313066.1,,27542.9,,6.6,133.890872807,,44.0,,,1665387.9,382555.2,,,,,,,,,,,,,,,,,,,,,,,,,63519.5,180498.4,,15879.9,,10.5,5.349215524,,24.7,,,603477.4,138624.4,,,,,,,,,62563.1,177780.8,,15640.8,,11.7,18.367502736,,22.4,,,535729.1,123062.0,,,,,,,,,351.91162,,,-282.8,,,,,
1990-Q4,,1773.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264550.3,749819.1,,66137.6,,7.4,1.332367733,,30.9,,,3564423.9,818781.5,,,,,,,,,,,,,,112546.6,318992.6,,,,6.8,-8.482332718,,24.8,,,1644222.8,377693.4,,,,,21058.8,59687.3,,5264.7,,7.7,-32.887150589,,24.2,,,271987.3,62478.0,,,,,,,,90262.1,255831.3,,22565.5,,6.2,-12.517915614,,38.5,,,1456916.0,334667.3,,,,,,,,,,,,,,,,,,,,,,,,,73503.9,208333.4,,18376.0,,13.8,-11.7683658,,21.8,,,532458.0,122310.6,,,,,,,,,66408.7,188223.3,,16602.2,,11.2,10.930367546,,24.8,,,594286.2,136513.1,,,,,,,,,352.81883,,,33587.5,,,,,
